State,DistrictID,DistrictName,UrbanHouseholds,UrbanElectricity,UrbanKerosene,UrbanSolar,UrbanOil,UrbanOther,UrbanNoLight,RuralHouseholds,RuralElectricity,RuralKerosene,RuralSolar,RuralOil,RuralOther,RuralNoLight
Maharashtra,16044, Sangli ,"152,648 ","145,536 ","6,123 ",70 ,149 ,160 ,610 ,"432,579 ","339,590 ","87,416 ",479 ,701 ,586 ,"3,807 "
Maharashtra,16045, Satara ,"121,812 ","115,515 ","5,391 ",58 ,71 ,80 ,697 ,"518,187 ","447,138 ","65,081 ",640 ,672 ,605 ,"4,051 "
Maharashtra,16046, Sindhudurg ,"24,625 ","24,033 ",526 ,3 ,8 ,9 ,46 ,"180,494 ","170,195 ","9,037 ",327 ,105 ,72 ,758 
Maharashtra,16047, Solapur ,"275,275 ","255,630 ","16,742 ",165 ,374 ,266 ,"2,098 ","583,706 ","339,930 ","230,387 ",854 ,"1,420 ","1,887 ","9,228 "
Maharashtra,16048, Thane ,"1,904,219 ","1,862,350 ","35,169 ","1,647 ",826 ,"1,587 ","2,640 ","526,397 ","369,450 ","145,889 ","1,843 ",823 ,"1,458 ","6,934 "
Maharashtra,16049, Wardha ,"92,396 ","87,712 ","3,917 ",81 ,93 ,64 ,529 ,"210,284 ","178,443 ","28,788 ",271 ,278 ,349 ,"2,155 "
Maharashtra,16050, Washim ,"40,402 ","35,579 ","3,847 ",40 ,94 ,246 ,596 ,"217,490 ","160,443 ","52,548 ",465 ,608 ,783 ,"2,643 "
Maharashtra,16051, Yavatmal ,"127,344 ","116,225 ","9,164 ",127 ,108 ,580 ,"1,140 ","513,041 ","330,291 ","169,575 ","1,103 ","1,378 ","3,224 ","7,470 "
Manipur,16052, Bishnupur ,"16,744 ","14,395 ","1,537 ",59 ,18 ,636 ,99 ,"28,147 ","19,969 ","7,479 ",91 ,38 ,510 ,60 
Manipur,16053, Chandel ,"3,237 ","3,111 ",116 ,2 ,2 ,3 ,3 ,"25,860 ","15,653 ","8,186 ",358 ,73 ,"1,302 ",288 
Manipur,16054, Churachandpur ,"3,269 ","3,209 ",36 ,17 ,5 ,1 ,1 ,"46,647 ","26,685 ","14,645 ","4,065 ",346 ,423 ,483 
Manipur,16055, East Imphal ,"37,792 ","35,274 ","1,889 ",96 ,73 ,387 ,73 ,"54,014 ","43,389 ","10,113 ",170 ,45 ,216 ,81 
Manipur,16056, Senapati ,"1,519 ","1,508 ",10 ,1 ,0 ,0 ,0 ,"32,968 ","21,290 ","9,886 ",680 ,257 ,601 ,254 
Manipur,16057, Tamenglong ,"3,408 ","2,871 ",502 ,16 ,13 ,4 ,2 ,"21,069 ","8,670 ","9,383 ","2,404 ",39 ,403 ,170 
Manipur,16058, Thoubal ,"30,642 ","21,350 ","6,901 ",51 ,54 ,"2,128 ",158 ,"54,653 ","28,157 ","24,808 ",117 ,163 ,"1,173 ",235 
Manipur,16059, Ukhrul ,"4,908 ","3,190 ",933 ,136 ,45 ,510 ,94 ,"30,882 ","10,836 ","14,901 ",936 ,325 ,"3,319 ",565 
Manipur,16060, West Imphal ,"69,881 ","56,283 ","7,339 ",331 ,314 ,"5,251 ",363 ,"41,512 ","30,795 ","8,763 ",210 ,245 ,"1,349 ",150 
Meghalaya,16061, East Garo Hills ,"7,745 ","6,954 ",728 ,8 ,10 ,2 ,43 ,"49,612 ","17,596 ","31,045 ",558 ,77 ,80 ,256 
Meghalaya,16062, East Khasi Hills ,"76,138 ","74,629 ","1,091 ",30 ,68 ,122 ,198 ,"84,694 ","61,312 ","21,873 ",283 ,288 ,291 ,647 
Meghalaya,16063, Jaintia Hills ,"5,161 ","5,055 ",53 ,3 ,7 ,20 ,23 ,"59,681 ","36,622 ","20,776 ",465 ,559 ,424 ,835 
Meghalaya,16065, South Garo Hills ,"2,372 ","1,924 ",423 ,5 ,5 ,1 ,14 ,"21,836 ","9,016 ","11,914 ",525 ,17 ,32 ,332 
Meghalaya,16066, West Garo Hills ,"13,839 ","12,409 ","1,297 ",11 ,37 ,6 ,79 ,"107,941 ","38,892 ","67,124 ","1,016 ",129 ,50 ,730 
Meghalaya,16067, West Khasi Hills ,"7,112 ","6,098 ",953 ,8 ,11 ,23 ,19 ,"56,508 ","26,775 ","28,078 ",889 ,198 ,194 ,374 
Mizoram,16068, Aizawl ,"64,755 ","64,219 ",372 ,25 ,46 ,66 ,27 ,"17,157 ","15,585 ","1,238 ",282 ,14 ,23 ,15 
Mizoram,16069, Champhai ,"10,056 ","9,843 ",132 ,4 ,29 ,22 ,26 ,"15,604 ","14,105 ","1,304 ",96 ,26 ,23 ,50 
Mizoram,16070, Kolasib ,"9,632 ","8,923 ",669 ,6 ,7 ,19 ,8 ,"7,664 ","5,930 ","1,675 ",19 ,4 ,5 ,31 
Mizoram,16071, Lawngtlai ,"3,855 ","3,772 ",53 ,7 ,6 ,15 ,2 ,"19,039 ","5,511 ","11,557 ","1,429 ",233 ,231 ,78 
Mizoram,16072, Lunglei ,"13,869 ","13,638 ",190 ,2 ,5 ,7 ,27 ,"18,748 ","12,756 ","4,786 ",505 ,278 ,155 ,268 
Mizoram,16073, Mamit ,"3,156 ","3,003 ",125 ,13 ,7 ,4 ,4 ,"14,048 ","9,155 ","4,384 ",300 ,45 ,112 ,52 
Mizoram,16074, Saiha ,"4,609 ","4,505 ",67 ,6 ,3 ,5 ,23 ,"6,305 ","2,895 ","3,131 ",240 ,24 ,11 ,4 
Mizoram,16075, Serchhip ,"6,271 ","6,114 ",136 ,1 ,6 ,7 ,7 ,"6,309 ","6,201 ",84 ,1 ,20 ,1 ,2 
Nagaland,16076, Dimapur ,"40,698 ","39,842 ",732 ,14 ,41 ,16 ,53 ,"36,034 ","31,571 ","3,899 ",48 ,82 ,162 ,272 
Nagaland,16077, Kohima ,"25,715 ","25,417 ",174 ,9 ,14 ,52 ,49 ,"26,421 ","25,307 ",919 ,32 ,68 ,39 ,56 
Nagaland,16078, Mokokchung ,"12,328 ","12,122 ",162 ,18 ,8 ,6 ,12 ,"30,016 ","28,032 ","1,728 ",99 ,61 ,46 ,50 
Nagaland,16079, Mon ,"5,543 ","5,125 ",374 ,6 ,7 ,1 ,30 ,"35,804 ","9,273 ","23,836 ",126 ,166 ,652 ,"1,751 "
Nagaland,16080, Phek ,"5,002 ","4,926 ",62 ,1 ,0 ,9 ,4 ,"32,889 ","31,256 ","1,027 ",16 ,42 ,370 ,178 
Nagaland,16081, Tuensang ,"6,802 ","6,552 ",214 ,8 ,12 ,5 ,11 ,"32,185 ","18,446 ","10,529 ",119 ,135 ,"1,960 ",996 
Nagaland,16082, Wokha ,"6,241 ","6,157 ",62 ,0 ,2 ,9 ,11 ,"27,028 ","19,111 ","6,872 ",161 ,100 ,519 ,265 
Nagaland,16083, Zunheboto ,"4,945 ","4,800 ",87 ,33 ,1 ,2 ,22 ,"25,388 ","24,046 ","1,001 ",123 ,34 ,22 ,162 
Orissa,16084, Angul ,"46,337 ","37,120 ","8,496 ",97 ,48 ,30 ,546 ,"249,585 ","94,796 ","149,057 ",902 ,348 ,311 ,"4,171 "
Orissa,16085, Baleshwar ,"55,895 ","47,405 ","7,707 ",89 ,76 ,51 ,567 ,"473,512 ","249,429 ","216,443 ","1,804 ",820 ,821 ,"4,195 "
Orissa,16086, Baragarh ,"34,027 ","30,092 ","3,553 ",46 ,9 ,18 ,309 ,"339,364 ","136,817 ","198,851 ",826 ,223 ,286 ,"2,361 "
Orissa,16087, Bhadrak ,"35,336 ","26,556 ","7,971 ",85 ,22 ,50 ,652 ,"274,191 ","138,080 ","132,319 ",842 ,176 ,251 ,"2,523 "
Orissa,16088, Bolangir ,"44,736 ","35,498 ","8,108 ",117 ,120 ,53 ,840 ,"387,345 ","87,948 ","292,681 ","1,504 ",351 ,261 ,"4,600 "
Orissa,16089, Boudh ,"4,488 ","3,359 ","1,040 ",10 ,1 ,5 ,73 ,"103,239 ","15,832 ","86,173 ",273 ,182 ,72 ,707 
Orissa,16090, Cuttack ,"141,749 ","129,803 ","9,960 ",153 ,61 ,213 ,"1,559 ","425,082 ","219,784 ","198,234 ",922 ,378 ,307 ,"5,457 "
Orissa,16091, Deogarh ,"5,431 ","3,966 ","1,383 ",7 ,9 ,1 ,65 ,"70,511 ","18,487 ","50,555 ",240 ,259 ,89 ,881 
Orissa,16092, Dhenkanal ,"25,252 ","19,791 ","5,149 ",16 ,39 ,19 ,238 ,"253,118 ","97,381 ","151,455 ",434 ,194 ,217 ,"3,437 "
Orissa,16093, Gajapati ,"15,946 ","12,628 ","3,123 ",17 ,20 ,12 ,146 ,"112,872 ","50,484 ","60,598 ",468 ,234 ,102 ,986 
Orissa,16094, Ganjam ,"154,678 ","127,097 ","24,539 ",223 ,111 ,223 ,"2,485 ","602,216 ","278,201 ","312,092 ","1,444 ",652 ,724 ,"9,103 "
Orissa,16095, Jagatsinghpur ,"28,177 ","18,037 ","9,524 ",99 ,71 ,94 ,352 ,"237,411 ","121,609 ","112,323 ","1,045 ",243 ,459 ,"1,732 "
Orissa,16096, Jajpur ,"29,437 ","23,214 ","5,692 ",42 ,38 ,41 ,410 ,"378,135 ","169,035 ","201,905 ",994 ,517 ,652 ,"5,032 "
Orissa,16097, Jharsuguda ,"50,960 ","44,321 ","5,780 ",46 ,49 ,122 ,642 ,"83,664 ","37,112 ","45,082 ",200 ,122 ,47 ,"1,101 "
Orissa,16098, Kalahandi ,"27,813 ","21,039 ","6,065 ",76 ,27 ,40 ,566 ,"377,001 ","70,132 ","299,920 ","3,344 ",164 ,311 ,"3,130 "
Orissa,16099, Kandhamal ,"16,669 ","11,735 ","4,668 ",22 ,74 ,18 ,152 ,"155,335 ","17,001 ","136,255 ",743 ,86 ,70 ,"1,180 "
Orissa,16100, Kendrapara ,"15,940 ","13,296 ","2,528 ",20 ,9 ,6 ,81 ,"311,465 ","159,811 ","147,154 ","1,379 ",337 ,315 ,"2,469 "
Orissa,16101, Keonjhar ,"56,893 ","41,349 ","14,460 ",85 ,128 ,120 ,751 ,"349,736 ","80,481 ","263,466 ","1,937 ",625 ,509 ,"2,718 "
Orissa,16102, Khordha ,"241,696 ","207,876 ","29,759 ",420 ,332 ,209 ,"3,100 ","247,940 ","141,984 ","100,200 ",512 ,261 ,224 ,"4,759 "
Orissa,16103, Koraput ,"54,683 ","43,414 ","10,499 ",83 ,70 ,83 ,534 ,"283,522 ","42,352 ","237,188 ","1,467 ",238 ,97 ,"2,180 "
Orissa,16104, Malkangiri ,"11,144 ","7,640 ","3,388 ",30 ,12 ,4 ,70 ,"126,306 ","16,964 ","107,316 ",961 ,99 ,168 ,798 
Orissa,16105, Mayurbhanj ,"42,884 ","33,166 ","9,129 ",52 ,32 ,13 ,492 ,"544,764 ","107,023 ","431,910 ","1,526 ",301 ,299 ,"3,705 "
Orissa,16106, Nabarangpur ,"20,202 ","13,059 ","6,813 ",39 ,23 ,34 ,234 ,"253,461 ","21,511 ","228,728 ","1,541 ",391 ,464 ,826 
Orissa,16107, Nayagarh ,"17,703 ","13,853 ","3,583 ",21 ,6 ,14 ,226 ,"213,265 ","111,131 ","97,230 ",936 ,243 ,306 ,"3,419 "
Orissa,16108, Nuapada ,"8,026 ","6,125 ","1,744 ",16 ,1 ,21 ,119 ,"151,921 ","37,851 ","111,626 ","1,116 ",88 ,43 ,"1,197 "
Orissa,16109, Puri ,"52,480 ","46,311 ","5,583 ",60 ,24 ,30 ,472 ,"317,002 ","155,294 ","156,415 ",803 ,201 ,295 ,"3,994 "
Orissa,16110, Rayagada ,"34,349 ","27,956 ","5,844 ",41 ,29 ,140 ,339 ,"191,615 ","33,587 ","155,198 ",847 ,117 ,272 ,"1,594 "
Orissa,16111, Sambalpur ,"69,871 ","62,511 ","6,522 ",75 ,18 ,37 ,708 ,"178,958 ","63,987 ","112,587 ",366 ,113 ,96 ,"1,809 "
Orissa,16113, Sundargarh ,"162,531 ","143,952 ","15,972 ",245 ,151 ,275 ,"1,936 ","310,762 ","79,585 ","223,841 ","2,197 ",368 ,359 ,"4,412 "
Punjab,16118, Amritsar ,"267,737 ","263,281 ","2,688 ",410 ,192 ,243 ,923 ,"212,566 ","197,950 ","9,671 ",425 ,468 ,"1,051 ","3,001 "
Punjab,16119, Bathinda ,"95,182 ","92,761 ","1,620 ",155 ,134 ,190 ,322 ,"170,853 ","162,889 ","5,024 ",172 ,392 ,849 ,"1,527 "
Punjab,16120, Faridkot ,"41,931 ","40,798 ",730 ,15 ,91 ,115 ,182 ,"76,262 ","72,751 ","1,879 ",120 ,250 ,443 ,819 
Punjab,16121, Fatehgarh Sahib ,"38,069 ","37,654 ",244 ,10 ,31 ,24 ,106 ,"77,684 ","76,029 ","1,124 ",43 ,83 ,85 ,320 
Punjab,16122, Firozpur ,"102,631 ","100,029 ","1,526 ",63 ,133 ,294 ,586 ,"271,536 ","249,633 ","13,517 ",562 ,814 ,"2,544 ","4,466 "
Punjab,16123, Gurdaspur ,"121,314 ","119,017 ","1,594 ",90 ,135 ,124 ,354 ,"309,898 ","292,199 ","12,786 ",547 ,701 ,643 ,"3,022 "
Punjab,16124, Hoshiarpur ,"71,171 ","69,806 ","1,061 ",32 ,76 ,69 ,127 ,"258,523 ","250,124 ","6,567 ",159 ,401 ,237 ,"1,035 "
Punjab,16125, Jalandhar ,"240,683 ","238,580 ","1,313 ",72 ,257 ,119 ,342 ,"213,390 ","207,620 ","3,768 ",221 ,369 ,427 ,985 
Punjab,16126, Kapurthala ,"58,466 ","57,873 ",393 ,11 ,58 ,44 ,87 ,"106,870 ","103,333 ","2,241 ",147 ,171 ,247 ,731 
Punjab,16127, Ludhiana ,"437,781 ","432,119 ","3,173 ",152 ,307 ,983 ,"1,047 ","278,323 ","271,505 ","4,167 ",341 ,399 ,495 ,"1,416 "
Punjab,16128, Mansa ,"31,793 ","30,855 ",530 ,23 ,37 ,107 ,241 ,"115,334 ","109,244 ","3,960 ",133 ,352 ,397 ,"1,248 "
Punjab,16129, Moga ,"45,698 ","44,271 ",657 ,37 ,42 ,200 ,491 ,"145,530 ","139,125 ","3,182 ",218 ,260 ,700 ,"2,045 "
Punjab,16130, Muktsar ,"49,835 ","48,587 ",717 ,33 ,94 ,94 ,310 ,"122,957 ","117,998 ","2,945 ",164 ,391 ,421 ,"1,038 "
Punjab,16132, Patiala ,"152,020 ","150,636 ",856 ,52 ,103 ,140 ,233 ,"209,720 ","202,293 ","4,391 ",195 ,314 ,728 ,"1,799 "
Punjab,16133, Rupnagar ,"36,832 ","35,862 ",605 ,11 ,31 ,242 ,81 ,"96,022 ","93,261 ","2,077 ",83 ,233 ,66 ,302 
Punjab,16134, Sangrur ,"98,663 ","97,365 ",660 ,35 ,62 ,177 ,364 ,"215,367 ","208,192 ","4,425 ",192 ,293 ,790 ,"1,475 "
Rajasthan,16135, Ajmer ,"189,061 ","183,263 ","4,792 ",115 ,159 ,264 ,468 ,"294,870 ","210,235 ","80,512 ",679 ,"1,184 ",815 ,"1,445 "
Rajasthan,16136, Alwar ,"123,647 ","118,119 ","4,340 ",69 ,182 ,406 ,531 ,"505,266 ","367,604 ","130,992 ","1,269 ","1,396 ","1,700 ","2,305 "
Rajasthan,16137, Banswara ,"26,885 ","25,243 ","1,428 ",7 ,24 ,23 ,160 ,"339,174 ","95,360 ","237,481 ","3,017 ",856 ,247 ,"2,213 "
Rajasthan,16138, Baran ,"48,746 ","43,740 ","4,364 ",32 ,84 ,171 ,355 ,"191,575 ","117,570 ","70,486 ",842 ,"1,069 ",583 ,"1,025 "
Rajasthan,16139, Barmer ,"31,759 ","29,067 ","2,102 ",49 ,35 ,86 ,420 ,"416,017 ","97,427 ","272,873 ","18,579 ","1,786 ","2,340 ","23,012 "
Rajasthan,16140, Bharatpur ,"85,521 ","76,806 ","7,634 ",77 ,167 ,631 ,206 ,"338,086 ","211,917 ","122,180 ","1,058 ",983 ,"1,017 ",931 
Rajasthan,16141, Bhilwara ,"99,362 ","93,331 ","5,009 ",73 ,61 ,535 ,353 ,"394,235 ","280,313 ","106,556 ",385 ,"2,061 ","2,592 ","2,328 "
Rajasthan,16142, Bikaner ,"133,478 ","123,484 ","7,516 ",172 ,359 ,473 ,"1,474 ","242,492 ","97,309 ","131,240 ","6,538 ","1,204 ","1,479 ","4,722 "
Rajasthan,16143, Bundi ,"42,546 ","38,101 ","4,004 ",25 ,75 ,123 ,218 ,"177,525 ","98,868 ","75,839 ",349 ,663 ,454 ,"1,352 "
Rajasthan,16144, Chittaurgarh ,"58,086 ","55,522 ","2,140 ",32 ,56 ,231 ,105 ,"268,363 ","212,650 ","51,630 ",253 ,629 ,"2,001 ","1,200 "
Rajasthan,16145, Churu ,"92,430 ","82,918 ","8,679 ",47 ,139 ,194 ,453 ,"254,921 ","148,778 ","102,530 ",347 ,807 ,572 ,"1,887 "
Rajasthan,16146, Dausa ,"34,770 ","32,387 ","2,149 ",22 ,53 ,62 ,97 ,"256,059 ","162,890 ","90,262 ",444 ,669 ,740 ,"1,054 "
Rajasthan,16147, Dhaulpur ,"40,586 ","32,932 ","7,119 ",48 ,186 ,189 ,112 ,"161,598 ","63,154 ","96,001 ",917 ,"1,096 ",127 ,303 
Rajasthan,16148, Dungarpur ,"18,663 ","17,424 ","1,138 ",9 ,26 ,5 ,61 ,"264,893 ","123,851 ","138,402 ",502 ,518 ,174 ,"1,446 "
Rajasthan,16149, Ganganagar ,"104,114 ","96,012 ","6,637 ",100 ,301 ,447 ,617 ,"269,763 ","187,130 ","74,916 ","2,923 ","1,566 ","1,248 ","1,980 "
Rajasthan,16150, Hanumangarh ,"67,358 ","61,937 ","4,578 ",16 ,106 ,260 ,461 ,"261,513 ","181,226 ","76,310 ",941 ,685 ,723 ,"1,628 "
Rajasthan,16151, Jaipur ,"643,270 ","623,848 ","15,564 ",759 ,583 ,743 ,"1,773 ","502,634 ","366,237 ","129,533 ","1,258 ","1,206 ","1,407 ","2,993 "
Rajasthan,16152, Jaisalmer ,"15,115 ","11,650 ","3,279 ",29 ,10 ,26 ,121 ,"98,284 ","31,491 ","55,812 ","4,313 ",738 ,903 ,"5,027 "
Rajasthan,16153, Jalor ,"27,274 ","23,073 ","3,135 ",39 ,63 ,426 ,538 ,"302,242 ","138,772 ","146,567 ","4,325 ","1,705 ","1,295 ","9,578 "
Rajasthan,16154, Jhalawar ,"44,733 ","41,559 ","2,426 ",32 ,132 ,495 ,89 ,"237,475 ","178,869 ","55,906 ",176 ,570 ,"1,030 ",924 
Rajasthan,16155, Jhunjhunun ,"82,017 ","75,775 ","5,413 ",71 ,148 ,172 ,438 ,"301,647 ","221,784 ","77,699 ",351 ,741 ,311 ,761 
Rajasthan,16156, Jodhpur ,"213,211 ","202,929 ","8,326 ",134 ,284 ,291 ,"1,247 ","413,367 ","205,879 ","192,879 ","4,874 ","1,849 ","1,501 ","6,385 "
Rajasthan,16157, Karauli ,"37,468 ","31,686 ","5,252 ",127 ,66 ,117 ,220 ,"225,191 ","100,393 ","118,449 ","4,379 ",936 ,470 ,564 
Rajasthan,16158, Kota ,"230,550 ","223,059 ","5,413 ",75 ,320 ,924 ,759 ,"149,275 ","116,840 ","30,687 ",170 ,299 ,538 ,741 
Rajasthan,16159, Nagaur ,"100,753 ","90,641 ","8,833 ",167 ,176 ,258 ,678 ,"483,188 ","256,703 ","217,683 ","3,247 ","1,207 ",691 ,"3,657 "
Rajasthan,16160, Pali ,"87,159 ","80,115 ","5,993 ",34 ,189 ,263 ,565 ,"341,833 ","246,678 ","89,076 ",943 ,"1,470 ",785 ,"2,881 "
Rajasthan,16161, Rajsamand ,"35,745 ","33,697 ","1,626 ",9 ,133 ,184 ,96 ,"209,743 ","159,579 ","46,072 ",419 ,"1,480 ",853 ,"1,340 "
Rajasthan,16162, Sawai Madhopur ,"47,461 ","43,266 ","3,862 ",60 ,52 ,92 ,129 ,"206,526 ","97,681 ","105,675 ","1,258 ",630 ,315 ,967 
Rajasthan,16163, Sikar ,"98,650 ","92,213 ","5,657 ",43 ,113 ,129 ,495 ,"347,063 ","247,244 ","96,075 ",488 ,912 ,958 ,"1,386 "
Rajasthan,16164, Sirohi ,"41,180 ","37,926 ","2,856 ",27 ,153 ,75 ,143 ,"161,080 ","96,163 ","63,011 ",349 ,495 ,177 ,885 
Rajasthan,16165, Tonk ,"53,726 ","49,057 ","4,026 ",70 ,176 ,126 ,271 ,"214,114 ","109,207 ","102,221 ",997 ,664 ,283 ,742 
Rajasthan,16166, Udaipur ,"121,144 ","117,247 ","3,251 ",52 ,76 ,196 ,322 ,"496,777 ","240,599 ","241,010 ","7,633 ","3,613 ",980 ,"2,942 "
Sikkim,16168, North Sikkim ,952 ,943 ,8 ,0 ,0 ,0 ,1 ,"7,951 ","6,883 ",937 ,44 ,9 ,21 ,57 
Sikkim,16169, South Sikkim ,"4,770 ","4,706 ",49 ,5 ,0 ,0 ,10 ,"25,476 ","22,881 ","2,404 ",26 ,41 ,11 ,113 
Sikkim,16169, South Sikkim ,"4,770 ","4,706 ",49 ,5 ,0 ,0 ,10 ,"25,476 ","22,881 ","2,404 ",26 ,41 ,11 ,113 
Sikkim,16169, South Sikkim ,"4,770 ","4,706 ",49 ,5 ,0 ,0 ,10 ,"25,476 ","22,881 ","2,404 ",26 ,41 ,11 ,113 
Sikkim,16170, West Sikkim ,"1,129 ","1,121 ",7 ,0 ,1 ,0 ,0 ,"26,731 ","24,151 ","2,332 ",65 ,15 ,21 ,147 
Sikkim,16170, West Sikkim ,"1,129 ","1,121 ",7 ,0 ,1 ,0 ,0 ,"26,731 ","24,151 ","2,332 ",65 ,15 ,21 ,147 
Tamil Nadu,16171, Ariyalur ,"21,288 ","19,482 ","1,687 ",7 ,13 ,2 ,97 ,"176,818 ","158,020 ","17,580 ",84 ,299 ,42 ,793 
Tamil Nadu,16172, Chennai ,"1,106,567 ","1,096,334 ","8,547 ",296 ,275 ,348 ,767 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Tamil Nadu,16173, Coimbatore ,"708,788 ","682,625 ","23,022 ",485 ,468 ,251 ,"1,937 ","237,155 ","213,700 ","21,342 ",141 ,465 ,144 ,"1,363 "
Tamil Nadu,16174, Cuddalore ,"212,231 ","198,681 ","12,443 ",79 ,253 ,162 ,613 ,"425,191 ","399,731 ","23,137 ",223 ,484 ,108 ,"1,508 "
Tamil Nadu,16175, Dharmapuri ,"65,361 ","61,759 ","3,336 ",28 ,71 ,20 ,147 ,"315,563 ","276,213 ","35,876 ",232 ,915 ,292 ,"2,035 "
Tamil Nadu,16176, Dindigul ,"210,415 ","194,833 ","13,962 ",101 ,418 ,79 ,"1,022 ","352,757 ","305,224 ","42,636 ",480 ,"1,152 ",141 ,"3,124 "
Tamil Nadu,16177, Erode ,"334,637 ","311,828 ","19,854 ",95 ,694 ,198 ,"1,968 ","324,097 ","283,383 ","35,803 ",501 ,909 ,363 ,"3,138 "
Tamil Nadu,16178, Kancheepuram ,"639,333 ","626,494 ","9,919 ",569 ,342 ,459 ,"1,550 ","354,476 ","334,667 ","16,856 ",264 ,688 ,195 ,"1,806 "
Tamil Nadu,16179, Kanniyakumari ,"402,811 ","384,134 ","15,748 ",621 ,681 ,155 ,"1,472 ","86,390 ","81,558 ","3,962 ",260 ,195 ,37 ,378 
Tamil Nadu,16180, Karur ,"119,018 ","112,346 ","6,120 ",32 ,136 ,26 ,358 ,"168,830 ","152,603 ","14,822 ",107 ,277 ,51 ,970 
Tamil Nadu,16181, Madurai ,"478,813 ","466,135 ","10,765 ",197 ,375 ,117 ,"1,224 ","319,126 ","288,006 ","27,338 ",178 ,702 ,232 ,"2,670 "
Tamil Nadu,16182, Nagapattinam ,"89,316 ","83,497 ","5,320 ",31 ,122 ,45 ,301 ,"323,340 ","298,443 ","23,260 ",126 ,348 ,63 ,"1,100 "
Tamil Nadu,16183, Namakkal ,"193,601 ","184,363 ","8,268 ",58 ,193 ,68 ,651 ,"284,156 ","256,681 ","24,236 ",334 ,703 ,219 ,"1,983 "
Tamil Nadu,16184, Nilgiris ,"114,556 ","103,711 ","10,157 ",75 ,205 ,75 ,333 ,"84,366 ","76,550 ","7,146 ",118 ,212 ,38 ,302 
Tamil Nadu,16185, Perambalur ,"24,982 ","23,333 ","1,565 ",4 ,43 ,5 ,32 ,"124,419 ","112,418 ","10,978 ",65 ,334 ,44 ,580 
Tamil Nadu,16186, Pudukkottai ,"77,760 ","73,800 ","3,681 ",33 ,66 ,28 ,152 ,"312,868 ","280,693 ","29,596 ",446 ,468 ,130 ,"1,535 "
Tamil Nadu,16187, Ramanathapuram ,"96,808 ","90,904 ","5,082 ",136 ,163 ,50 ,473 ,"232,147 ","200,496 ","28,783 ",422 ,568 ,148 ,"1,730 "
Tamil Nadu,16188, Salem ,"463,935 ","435,410 ","25,661 ",198 ,521 ,292 ,"1,853 ","454,964 ","399,967 ","48,925 ",756 ,"1,049 ",365 ,"3,902 "
Tamil Nadu,16189, Sivaganga ,"105,023 ","100,628 ","3,731 ",57 ,140 ,12 ,455 ,"236,937 ","213,642 ","20,514 ",251 ,577 ,84 ,"1,869 "
Tamil Nadu,16190, Thanjavur ,"213,883 ","203,039 ","9,897 ",47 ,211 ,58 ,631 ,"391,191 ","352,543 ","36,038 ",136 ,682 ,76 ,"1,716 "
Tamil Nadu,16191, Theni ,"182,758 ","167,788 ","13,532 ",100 ,388 ,130 ,820 ,"158,207 ","144,522 ","11,839 ",602 ,279 ,111 ,854 
Tamil Nadu,16192, Thiruvallur ,"613,024 ","602,649 ","8,323 ",591 ,402 ,159 ,900 ,"325,798 ","306,751 ","16,146 ",184 ,577 ,221 ,"1,919 "
Tamil Nadu,16193, Thiruvarur ,"65,292 ","61,301 ","3,701 ",28 ,99 ,19 ,144 ,"262,679 ","241,813 ","19,454 ",106 ,308 ,66 ,932 
Tamil Nadu,16195, Tiruchchirappalli ,"342,041 ","329,632 ","11,127 ",106 ,243 ,111 ,822 ,"358,811 ","321,989 ","33,751 ",167 ,639 ,154 ,"2,111 "
Tamil Nadu,16196, Tirunelveli Kattabo ,"397,730 ","381,938 ","13,020 ",165 ,472 ,200 ,"1,935 ","422,597 ","397,192 ","21,466 ",209 ,703 ,265 ,"2,762 "
Tamil Nadu,16197, Tiruvannamalai ,"116,158 ","111,287 ","4,192 ",64 ,194 ,36 ,385 ,"477,106 ","437,790 ","35,954 ",395 ,"1,140 ",171 ,"1,656 "
Tamil Nadu,16198, Vellore ,"390,296 ","375,009 ","12,901 ",245 ,452 ,221 ,"1,468 ","537,022 ","490,904 ","41,086 ",387 ,"1,189 ",413 ,"3,043 "
Tamil Nadu,16199, Villupuram ,"121,321 ","116,402 ","4,275 ",90 ,159 ,28 ,367 ,"683,022 ","632,042 ","47,242 ",481 ,"1,015 ",348 ,"1,894 "
Tamil Nadu,16200, Virudhunagar ,"273,250 ","261,196 ","10,619 ",109 ,241 ,127 ,958 ,"266,882 ","244,754 ","19,656 ",155 ,420 ,197 ,"1,700 "
Tripura,16201, Dhalai ,"9,937 ","9,029 ",829 ,27 ,14 ,1 ,37 ,"73,160 ","37,846 ","31,377 ","3,487 ",115 ,20 ,315 
Tripura,16202, North Tripura ,"28,238 ","24,571 ","3,490 ",124 ,22 ,3 ,28 ,"122,693 ","57,030 ","62,635 ","2,348 ",330 ,31 ,319 
Tripura,16203, South Tripura ,"31,618 ","28,767 ","2,578 ",173 ,45 ,3 ,52 ,"173,665 ","104,977 ","64,531 ","3,012 ",342 ,136 ,667 
Tripura,16204, West Tripura ,"165,209 ","152,847 ","9,523 ","2,176 ",247 ,74 ,342 ,"238,261 ","161,720 ","70,410 ","4,521 ",683 ,81 ,846 
